Mã phiếu,Nhân viên nhập,Mã sản phẩm,Tên sản phẩm,Số lượng nhập,Hạn sử dụng,Ngày nhập,Mã lô hàng
4,phao,SP002,Bánh quy socola,220,31/03/2026,25/11/2025 23:42,
6,phao,SP003,Bánh kem xốp,220,24/03/2026,25/11/2025 23:52,
6,phao,SP001,Bánh quy bơ,10,25/03/2026,25/11/2025 23:52,
8,phao,SP001,Bánh quy bơ,100,27/11/2025,25/11/2025 23:54,
8,phao,SP002,Bánh quy socola,200,30/04/2026,25/11/2025 23:54,
8,phao,SP003,Bánh kem xốp,10,04/02/2026,25/11/2025 23:54,
9,phao,SP003,Bánh kem xốp,100,30/01/2026,25/11/2025 23:55,
3,Dương,SP001,Bánh quy bơ,100,25/03/2026,26/11/2025 12:26,
3,Dương,SP002,Bánh quy socola,100,21/02/2026,26/11/2025 12:26,
3,Dương,SP004,Kẹo cứng hương cam,100,17/03/2026,26/11/2025 12:26,
5,Mon,SP001,Bánh quy bơ,100,05/03/2026,26/11/2025 12:30,
5,Mon,SP002,Bánh quy socola,120,18/02/2026,26/11/2025 12:30,
5,Mon,SP003,Bánh kem xốp,50,20/02/2026,26/11/2025 12:30,
10,phao,SP001,Bánh quy bơ,100,16/01/2026,30/11/2025 14:25,
11,phao,SP005,Kẹo mềm sữa,100,30/04/2026,01/12/2025 09:53,
12,Mon,SP006,Kẹo dẻo trái cây,100,30/04/2026,01/12/2025 09:56,
13,phao,SP007,Socola nhân hạnh nhân,100,30/04/2026,01/12/2025 10:13,
14,phao,SP008,Snack khoai tây,100,30/04/2026,01/12/2025 10:20,
15,phao,SP004,Kẹo cứng hương cam,150,20/04/2026,01/12/2025 10:37,
16,phao,SP001,Bánh quy bơ,320,31/03/2026,04/12/2025 13:53,
16,phao,SP002,Bánh quy socola,223,31/03/2026,04/12/2025 13:53,
16,phao,SP003,Bánh kem xốp,223,31/03/2026,04/12/2025 13:53,
16,phao,SP004,Kẹo cứng hương cam,172,31/03/2026,04/12/2025 13:53,
16,phao,SP005,Kẹo mềm sữa,185,30/04/2026,04/12/2025 13:53,
16,phao,SP006,Kẹo dẻo trái cây,285,31/03/2026,04/12/2025 13:53,
16,phao,SP007,Socola nhân hạnh nhân,270,31/03/2026,04/12/2025 13:53,
16,phao,SP008,Snack khoai tây,300,31/03/2026,04/12/2025 13:53,
16,phao,SP009,Snack rong biển,175,31/03/2026,04/12/2025 13:53,
16,phao,SP010,Bánh trung thu truyền thống,35,30/01/2026,04/12/2025 13:53,
16,phao,SP011,Bánh trung thu nhân đậu xanh,32,30/01/2026,04/12/2025 13:53,
16,phao,SP013,Bánh mì mini,150,31/03/2026,04/12/2025 13:53,
16,phao,SP012,Thanh ngũ cốc dinh dưỡng,145,30/03/2026,04/12/2025 13:53,
16,phao,SP015,Kẹo me chua cay,200,31/03/2026,04/12/2025 13:53,
16,phao,SP014,Kẹo bạc hà,158,31/03/2026,04/12/2025 13:53,
17,phao,SP001,Bánh quy bơ,200,31/03/2026,05/12/2025 00:59,
18,Phao,SP002,Bánh quy socola,225,31/03/2026,05/12/2025 01:30,
18,Phao,SP003,Bánh kem xốp,202,31/03/2026,05/12/2025 01:30,
18,Phao,SP004,Kẹo cứng hương cam,175,31/03/2026,05/12/2025 01:30,
19,Huyền Hay Hờn,SP005,Kẹo mềm sữa,185,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP006,Kẹo dẻo trái cây,285,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP007,Socola nhân hạnh nhân,270,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP008,Snack khoai tây,300,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP009,Snack rong biển,175,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP010,Bánh trung thu truyền thống,35,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP011,Bánh trung thu nhân đậu xanh,35,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP012,Thanh ngũ cốc dinh dưỡng,145,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP013,Bánh mì mini,150,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP014,Kẹo bạc hà,160,31/03/2026,05/12/2025 01:40,
19,Huyền Hay Hờn,SP015,Kẹo me chua cay,200,31/03/2026,05/12/2025 01:40,
19,phao,SP010,Bánh trung thu truyền thống,15,30/01/2026,05/12/2025 01:43,
19,phao,SP011,Bánh trung thu nhân đậu xanh,15,30/01/2026,05/12/2025 01:43,
20,phao,SP010,Bánh trung thu truyền thống,20,21/01/2026,05/12/2025 13:41,
21,baphao,SP011,Bánh trung thu nhân đậu xanh,25,20/01/2026,05/12/2025 13:53,
22,phao,SP001,Bánh quy bơ,320,31/03/2026,05/12/2025 18:18,
22,phao,SP002,Bánh quy socola,205,31/03/2026,05/12/2025 18:18,
22,phao,SP003,Bánh kem xốp,200,31/03/2026,05/12/2025 18:18,
23,phao,SP011,Bánh trung thu nhân đậu xanh,145,31/03/2026,05/12/2025 18:22,
23,phao,SP012,Thanh ngũ cốc dinh dưỡng,145,31/03/2026,05/12/2025 18:22,
23,phao,SP013,Bánh mì mini,150,31/03/2026,05/12/2025 18:22,
24,phao,SP010,Bánh trung thu truyền thống,30,20/01/2026,05/12/2025 21:36,
24,phao,SP011,Bánh trung thu nhân đậu xanh,30,20/01/2026,05/12/2025 21:36,
25,phao,SP011,Bánh trung thu nhân đậu xanh,30,17/12/2025,05/12/2025 22:05,
