Mã sản phẩm,Tên sản phẩm,Số lượng tồn kho,Điểm đặt hàng lại (ROP),Tồn kho an toàn,Hệ số luân chuyển số lượng
SP001,Bánh quy bơ,320,175,58,14.54
SP002,Bánh quy socola,205,114,38,14.82
SP003,Bánh kem xốp,200,101,34,14.57
SP004,Kẹo cứng hương cam,175,86,29,14.65
SP005,Kẹo mềm sữa,185,86,29,14.65
SP006,Kẹo dẻo trái cây,285,143,48,14.74
SP007,Socola nhân hạnh nhân,270,143,48,14.74
SP008,Snack khoai tây,300,158,53,14.87
SP009,Snack rong biển,175,86,29,14.65
SP010,Bánh trung thu truyền thống,65,15,6,0.58
SP011,Bánh trung thu nhân đậu xanh,65,15,6,0.58
SP012,Thanh ngũ cốc dinh dưỡng,145,72,25,4.0
SP013,Bánh mì mini,0,72,25,14.63
SP014,Kẹo bạc hà,0,72,25,14.63
SP015,Kẹo me chua cay,0,105,34,14.57
